code,num,sub,in_main,in_pr,status,axis
ff.71.1,71,1,no,no,available,natura
ff.71.2,71,2,yes,no,used,tecnologia
ff.71.3,71,3,no,no,available,tecnologia
ff.71.4,71,4,no,no,available,natura
ff.72.1,72,1,no,no,available,societa
ff.72.2,72,2,no,no,available,societa
ff.72.3,72,3,no,no,available,societa
ff.72.4,72,4,no,no,available,natura
ff.73.1,73,1,no,no,available,natura
ff.73.2,73,2,no,no,available,tecnologia
ff.73.3,73,3,no,no,available,natura
ff.73.4,73,4,no,no,available,tecnologia
ff.73.5,73,5,no,no,available,tecnologia
ff.73.6,73,6,no,no,available,tecnologia
ff.74.1,74,1,no,no,available,societa
ff.74.2,74,2,no,no,available,societa
ff.74.3,74,3,no,no,available,societa
ff.74.4,74,4,no,no,available,natura
ff.75.1,75,1,no,no,available,tecnologia
ff.75.2,75,2,no,no,available,natura
ff.75.3,75,3,no,no,available,societa
ff.75.4,75,4,no,no,available,societa
ff.76.1,76,1,no,no,available,natura
ff.76.2,76,2,no,no,available,natura
ff.76.3,76,3,no,no,available,natura
ff.76.4,76,4,no,no,available,societa
ff.77.1,77,1,no,no,available,societa
ff.77.2,77,2,no,no,available,societa
ff.77.3,77,3,no,no,available,societa
ff.77.4,77,4,no,no,available,societa
ff.77.5,77,5,no,no,available,societa
ff.78.1,78,1,yes,yes,used,societa
ff.78.2,78,2,no,no,available,societa
ff.78.3,78,3,no,no,available,natura
ff.78.4,78,4,no,no,available,natura
ff.78.5,78,5,no,no,available,natura
ff.79.1,79,1,no,no,available,tecnologia
ff.79.2,79,2,yes,yes,used,natura
ff.79.3,79,3,no,no,available,natura
ff.79.4,79,4,no,no,available,natura
ff.81.1,81,1,no,no,available,societa
ff.81.2,81,2,no,no,available,tecnologia
ff.81.3,81,3,yes,yes,used,natura
ff.81.4,81,4,no,no,available,natura
ff.81.5,81,5,no,no,available,tecnologia
ff.82.1,82,1,no,yes,used,tecnologia
ff.82.2,82,2,no,yes,used,tecnologia
ff.82.3,82,3,no,yes,used,tecnologia
ff.82.4,82,4,no,no,available,tecnologia
ff.83.1,83,1,no,no,available,tecnologia
ff.83.2,83,2,no,no,available,tecnologia
ff.83.3,83,3,no,no,available,tecnologia
ff.83.4,83,4,no,no,available,tecnologia
ff.83.5,83,5,no,yes,used,tecnologia
ff.84.1,84,1,no,no,available,tecnologia
ff.84.2,84,2,no,no,available,tecnologia
ff.84.3,84,3,no,no,available,tecnologia
ff.84.4,84,4,no,no,available,natura
ff.85.1,85,1,yes,yes,used,tecnologia
ff.85.2,85,2,no,no,available,natura
ff.85.3,85,3,no,no,available,natura
ff.85.4,85,4,no,no,available,tecnologia
ff.86.1,86,1,yes,no,used,natura
ff.86.2,86,2,yes,no,used,natura
ff.86.3,86,3,yes,no,used,natura
ff.87.1,87,1,yes,no,used,natura
ff.87.2,87,2,yes,yes,used,societa
ff.87.3,87,3,no,yes,used,natura
ff.87.4,87,4,no,no,available,natura
ff.88.1,88,1,no,yes,used,tecnologia
ff.88.2,88,2,yes,no,used,tecnologia
ff.88.3,88,3,yes,no,used,tecnologia
ff.88.4,88,4,no,no,available,natura
ff.88.5,88,5,yes,no,used,tecnologia
ff.89.1,89,1,no,no,available,tecnologia
ff.89.2,89,2,no,yes,used,tecnologia
ff.89.3,89,3,no,yes,used,natura
ff.89.4,89,4,no,no,available,societa
ff.90.1,90,1,no,no,available,natura
ff.90.2,90,2,no,no,available,natura
ff.90.3,90,3,yes,no,used,natura
ff.91.1,91,1,no,no,available,tecnologia
ff.91.2,91,2,no,no,available,tecnologia
ff.91.3,91,3,no,no,available,tecnologia
ff.92.1,92,1,yes,yes,used,tecnologia
ff.92.2,92,2,yes,no,used,societa
ff.92.3,92,3,no,yes,used,societa
ff.92.4,92,4,no,no,available,natura
ff.94.1,94,1,no,no,available,natura
ff.94.2,94,2,no,yes,used,natura
ff.94.3,94,3,no,no,available,natura
ff.95.1,95,1,yes,no,used,societa
ff.95.2,95,2,yes,no,used,tecnologia
ff.95.3,95,3,yes,no,used,tecnologia
ff.95.4,95,4,no,no,available,tecnologia
ff.95.5,95,5,yes,no,used,tecnologia
ff.97.1,97,1,yes,no,used,societa
ff.97.2,97,2,yes,yes,used,societa
ff.97.3,97,3,no,no,available,natura
ff.97.4,97,4,no,no,available,tecnologia
ff.98.1,98,1,no,yes,used,tecnologia
ff.98.2,98,2,no,yes,used,tecnologia
ff.98.3,98,3,yes,yes,used,tecnologia
ff.98.4,98,4,no,no,available,natura
ff.99.1,99,1,yes,yes,used,societa
ff.99.2,99,2,no,yes,used,natura
ff.99.3,99,3,no,no,available,natura
ff.99.4,99,4,no,yes,used,natura
ff.99.5,99,5,no,no,available,natura
ff.101.1,101,1,no,no,available,societa
ff.101.4,101,4,no,no,available,societa
ff.102.1,102,1,no,no,available,societa
ff.102.2,102,2,no,no,available,tecnologia
ff.102.3,102,3,yes,no,used,tecnologia
ff.102.4,102,4,no,no,available,tecnologia
ff.102.5,102,5,no,no,available,natura
ff.103.1,103,1,no,no,available,tecnologia
ff.103.2,103,2,no,yes,used,tecnologia
ff.103.3,103,3,yes,no,used,tecnologia
ff.103.4,103,4,no,no,available,tecnologia
ff.104.1,104,1,no,no,available,natura
ff.104.2,104,2,no,no,available,natura
ff.104.3,104,3,yes,no,used,natura
ff.104.4,104,4,no,no,available,tecnologia
ff.105.1,105,1,no,no,available,natura
ff.105.2,105,2,no,no,available,natura
ff.105.3,105,3,yes,yes,used,natura
ff.105.4,105,4,yes,yes,used,tecnologia
ff.106.1,106,1,yes,no,used,tecnologia
ff.106.2,106,2,no,no,available,tecnologia
ff.106.3,106,3,no,yes,used,tecnologia
ff.106.4,106,4,no,no,available,tecnologia
ff.108.1,108,1,yes,no,used,tecnologia
ff.108.2,108,2,no,no,available,societa
ff.108.3,108,3,no,no,available,natura
ff.108.4,108,4,no,yes,used,societa
ff.109.1,109,1,yes,yes,used,natura
ff.109.2,109,2,no,yes,used,tecnologia
ff.109.3,109,3,no,no,available,natura
ff.109.4,109,4,yes,yes,used,tecnologia
ff.110.1,110,1,yes,yes,used,natura
ff.110.2,110,2,no,no,available,natura
ff.110.3,110,3,yes,no,used,tecnologia
ff.110.4,110,4,no,no,available,tecnologia
ff.111.1,111,1,no,yes,used,natura
ff.111.2,111,2,yes,no,used,societa
ff.111.3,111,3,no,no,available,natura
ff.111.4,111,4,yes,no,used,societa
ff.112.1,112,1,no,yes,used,tecnologia
ff.112.2,112,2,no,no,available,societa
ff.112.3,112,3,no,no,available,societa
ff.112.4,112,4,no,no,available,natura
ff.112.5,112,5,yes,no,used,natura
ff.113.1,113,1,yes,no,used,natura
ff.113.2,113,2,no,no,available,natura
ff.113.3,113,3,yes,yes,used,natura
ff.113.4,113,4,no,yes,used,natura
ff.115.1,115,1,no,yes,used,natura
ff.115.2,115,2,no,yes,used,tecnologia
ff.115.3,115,3,no,no,available,tecnologia
ff.117.1,117,1,yes,no,used,societa
ff.117.2,117,2,yes,no,used,tecnologia
ff.117.3,117,3,no,no,available,tecnologia
ff.117.4,117,4,no,no,available,societa
ff.118.1,118,1,yes,no,used,societa
ff.118.2,118,2,yes,no,used,tecnologia
ff.118.3,118,3,yes,no,used,societa
ff.119.1,119,1,yes,no,used,tecnologia
ff.119.2,119,2,yes,no,used,tecnologia
ff.119.3,119,3,yes,no,used,tecnologia
ff.119.4,119,4,yes,no,used,tecnologia
ff.120.1,120,1,yes,yes,used,natura
ff.120.2,120,2,no,yes,used,natura
ff.120.3,120,3,yes,no,used,natura
ff.120.4,120,4,yes,no,used,natura
ff.120.5,120,5,no,yes,used,natura
ff.121.1,121,1,yes,no,used,natura
ff.121.2,121,2,yes,no,used,societa
ff.122.3,122,3,yes,no,used,natura
ff.122.4,122,4,yes,no,used,natura
ff.123.1,123,1,yes,no,used,tecnologia
ff.123.2,123,2,no,yes,used,natura
ff.123.3,123,3,no,yes,used,natura
ff.123.4,123,4,no,yes,used,tecnologia
ff.124.1,124,1,yes,no,used,tecnologia
ff.124.2,124,2,yes,no,used,tecnologia
ff.124.3,124,3,yes,no,used,tecnologia
ff.124.4,124,4,yes,no,used,tecnologia
ff.125.1,125,1,yes,no,used,societa
ff.125.2,125,2,yes,no,used,societa
ff.125.3,125,3,yes,no,used,natura
ff.125.4,125,4,yes,no,used,tecnologia
ff.126.1,126,1,yes,no,used,societa
ff.126.2,126,2,no,no,available,tecnologia
ff.126.3,126,3,no,yes,used,tecnologia
ff.126.4,126,4,yes,yes,used,tecnologia
ff.127.1,127,1,no,yes,used,tecnologia
ff.127.2,127,2,yes,no,used,tecnologia
ff.127.3,127,3,yes,no,used,societa
ff.127.4,127,4,no,no,available,societa
ff.128.1,128,1,no,no,available,societa
ff.129.1,129,1,yes,no,used,natura
ff.129.2,129,2,yes,yes,used,tecnologia
ff.129.3,129,3,no,no,available,tecnologia
ff.129.4,129,4,no,no,available,tecnologia
ff.130.1,130,1,yes,no,used,natura
ff.130.2,130,2,yes,no,used,natura
ff.130.3,130,3,yes,no,used,natura
ff.130.4,130,4,yes,no,used,natura
ff.130.5,130,5,yes,no,used,natura
ff.131.1,131,1,no,no,available,societa
ff.131.2,131,2,no,no,available,societa
ff.131.3,131,3,yes,no,used,societa
ff.131.4,131,4,yes,no,used,societa
ff.131.5,131,5,no,no,available,natura
ff.132.1,132,1,no,yes,used,societa
ff.132.2,132,2,yes,no,used,societa
ff.132.3,132,3,yes,no,used,natura
ff.132.4,132,4,no,no,available,natura
ff.134.1,134,1,yes,no,used,tecnologia
ff.134.2,134,2,yes,no,used,natura
ff.134.3,134,3,yes,yes,used,natura
ff.134.4,134,4,no,yes,used,tecnologia
ff.135.1,135,1,yes,no,used,societa
ff.135.2,135,2,yes,no,used,societa
ff.135.3,135,3,yes,no,used,societa
ff.135.4,135,4,yes,no,used,tecnologia
ff.135.5,135,5,yes,no,used,tecnologia
ff.137.1,137,1,yes,no,used,natura
ff.137.2,137,2,no,yes,used,societa
ff.137.3,137,3,yes,no,used,societa
ff.137.4,137,4,no,yes,used,natura
ff.138.1,138,1,yes,no,used,natura
ff.138.2,138,2,yes,no,used,societa
ff.138.3,138,3,yes,no,used,societa
ff.138.4,138,4,yes,no,used,natura
ff.138.5,138,5,yes,no,used,natura
ff.139.1,139,1,yes,no,used,tecnologia
ff.139.2,139,2,yes,no,used,societa
ff.139.3,139,3,yes,yes,used,tecnologia
